Week,WeekStart,Phase,Track,Project,Topic/Pillar,Task,Deliverable/Proof,Status,Notes
01,2026-01-04,Setup,Tracker,System Setup,Repo + Tracking,"Confirm repo structure: /docs + /projects; GitHub issues + labels; Obsidian vault linked","GitHub: repo tree + Issues list; docs/progress/now.md",Planned,
01,2026-01-04,Learn,TypeScript,General,TypeScript Mastery,"TS basics refresh: types, interfaces, unions, narrowing, functions","docs/interview/typescript.md (create later)",Planned,
01,2026-01-04,Learn,Angular,P01 MiniMart Catalog,Angular CLI,"Create Angular CLI app in projects/01-fundamentals; run locally","projects/01-fundamentals/... + screenshot",Planned,
01,2026-01-04,Learn,Angular,P01 MiniMart Catalog,Component Architecture,"Understand component + template structure, standalone components basics","Notes in docs/weekly-notes/week-01.md",Planned,
01,2026-01-04,Build,Angular,P01 MiniMart Catalog,Data Binding,"Implement basic binding practice tasks (property/event/two-way) (YOU implement)","GitHub Issue #P01 checklist updates + commit/PR link",Planned,
01,2026-01-04,Prep,Interview,Interview Pack,Angular Fundamentals,"Write 10 short Q/A: components, binding, directives overview","docs/interview/angular-fundamentals.md",Planned,
01,2026-01-04,Prep,Interview,Mock,Communication,"Explain your P01 goal + architecture in 3 minutes (practice)","Obsidian note: docs/interview/mock-notes.md",Planned,
01,2026-01-04,Review,Weekly,Week 01,Weekly Review,"Update weekly note + close what’s done + plan next week","docs/weekly-notes/week-01.md updated",Planned,

02,2026-01-11,Plan,Tracker,Week 02,Sprint Planning,"Break P01 into small GitHub checklist tasks (directives/pipes/lifecycle)","GitHub Issue P01 updated",Planned,
02,2026-01-11,Learn,Angular,P01 MiniMart Catalog,Directives,"Learn *ngIf/*ngFor/ngClass/ngStyle + trackBy concept","docs/weekly-notes/week-02.md",Planned,
02,2026-01-11,Build,Angular,P01 MiniMart Catalog,Directives,"Implement directive-based UI tasks (YOU implement)","PR link + screenshots in project README",Planned,
02,2026-01-11,Learn,Angular,P01 MiniMart Catalog,Pipes,"Built-in pipes + create custom pipe concept","docs/weekly-notes/week-02.md",Planned,
02,2026-01-11,Build,Angular,P01 MiniMart Catalog,Pipes,"Add custom pipe usage in UI (YOU implement)","PR link + screenshot",Planned,
02,2026-01-11,Learn,Angular,P01 MiniMart Catalog,Lifecycle Hooks,"Learn ngOnInit/ngOnChanges/ngOnDestroy use-cases","docs/interview/angular-lifecycle.md",Planned,
02,2026-01-11,Prep,Interview,Interview Pack,TypeScript Mastery,"Write 10 TS Q/A: generics intro, keyof, utility types basics","docs/interview/typescript.md updated",Planned,
02,2026-01-11,Review,Weekly,Week 02,Weekly Review,"One PR merged + weekly note + update now.md if focus changes","PR merged + docs updates",Planned,

03,2026-01-18,Plan,Tracker,Week 03,Sprint Planning,"Define routing tasks for P01: list/details routes + navigation UX","Issue P01 updated (routing tasks)",Planned,
03,2026-01-18,Learn,Angular,P01 MiniMart Catalog,Routing and Navigation,"Routes, routerLink, router-outlet, params basics","docs/weekly-notes/week-03.md",Planned,
03,2026-01-18,Build,Angular,P01 MiniMart Catalog,Routing and Navigation,"Implement routing tasks (YOU implement)","PR link + screenshot",Planned,
03,2026-01-18,Learn,Angular,P01 MiniMart Catalog,Component Architecture,"Container/presentational split concept + folder conventions","docs/interview/angular-architecture.md",Planned,
03,2026-01-18,Build,Angular,P01 MiniMart Catalog,Refactor,"Refactor P01 structure (components folders) (YOU implement)","PR link",Planned,
03,2026-01-18,Prep,Interview,Interview Pack,RxJS Basics,"5–10 Q/A: Observable vs Promise, subscribe, pipe, operators idea","docs/interview/rxjs.md",Planned,
03,2026-01-18,Prep,Interview,Mock,Angular Qs,"Mock: explain directives/pipes/routing in P01","docs/interview/mock-notes.md updated",Planned,
03,2026-01-18,Review,Weekly,Week 03,Weekly Review,"Weekly note + PR merged + update roadmap checkboxes","docs/weekly-notes/week-03.md",Planned,

04,2026-01-25,Plan,Tracker,Week 04,Sprint Planning,"Plan Services + DI + HTTP intro tasks (prepare for P02/P03)","Issue list updated",Planned,
04,2026-01-25,Learn,Angular,General,Dependency Injection (DI),"Providers, inject(), constructor injection, service scope","docs/weekly-notes/week-04.md",Planned,
04,2026-01-25,Learn,Angular,General,Services and HTTP,"HttpClient basics + error handling concept","docs/weekly-notes/week-04.md",Planned,
04,2026-01-25,Build,Angular,P01 MiniMart Catalog,Services,"Add a simple service (local data) to P01 (YOU implement)","PR link",Planned,
04,2026-01-25,Learn,TypeScript,General,TypeScript Mastery,"Async/await, Promise patterns, typing async functions","docs/interview/typescript.md updated",Planned,
04,2026-01-25,Prep,Interview,Interview Pack,Angular DI/Services,"10 Q/A: DI scopes, providers, why services, http basics","docs/interview/angular-di-http.md",Planned,
04,2026-01-25,Prep,Interview,Mock,Behavioral,"Tell a story: debugging, learning plan, time management","docs/interview/behavioral.md",Planned,
04,2026-01-25,Review,Weekly,Week 04,Weekly Review,"Weekly note + ensure P01 is “presentable” (README + screenshots)","project README updated",Planned,

05,2026-02-01,Plan,Tracker,Week 05,Sprint Planning,"Start P02 scope: CRUD + Reactive Forms + validation checklist","Issue P02 checklist created",Planned,
05,2026-02-01,Learn,Angular,P02 Student CRUD,Forms Management,"Reactive forms basics: FormGroup, FormControl, validators","docs/weekly-notes/week-05.md",Planned,
05,2026-02-01,Build,Angular,P02 Student CRUD,Forms Management,"Create P02 app skeleton + first reactive form (YOU implement)","PR link",Planned,
05,2026-02-01,Learn,Angular,P02 Student CRUD,Routing and Navigation,"CRUD routes: list/add/edit/details","docs/weekly-notes/week-05.md",Planned,
05,2026-02-01,Build,Angular,P02 Student CRUD,Routing and Navigation,"Implement P02 routing layout (YOU implement)","PR link",Planned,
05,2026-02-01,Learn,Angular,P02 Student CRUD,State Handling,"Local state service (in-memory/localStorage) concept","docs/interview/state-local.md",Planned,
05,2026-02-01,Prep,Interview,Interview Pack,Forms,"10 Q/A: reactive vs template, validators, async validators, form submit","docs/interview/forms.md",Planned,
05,2026-02-01,Review,Weekly,Week 05,Weekly Review,"Weekly note + ensure one CRUD flow works end-to-end","docs/weekly-notes/week-05.md",Planned,

06,2026-02-08,Plan,Tracker,Week 06,Sprint Planning,"Add HTTP layer tasks for P03: fetch + loading/error + retry","Issue P03 checklist created",Planned,
06,2026-02-08,Learn,Angular,General,Services and HTTP,"Interceptors, error handling patterns, environment config concept","docs/weekly-notes/week-06.md",Planned,
06,2026-02-08,Learn,RxJS,General,Reactive Programming (RxJS),"Operators: map, switchMap, mergeMap, catchError, debounceTime","docs/weekly-notes/week-06.md",Planned,
06,2026-02-08,Build,Angular,P02 Student CRUD,Forms Management,"Complete CRUD form validation + UX polish (YOU implement)","PR link + screenshots",Planned,
06,2026-02-08,Learn,Angular,General,Angular CLI,"build/serve/config; file structure; assets; environments","docs/interview/angular-cli.md",Planned,
06,2026-02-08,Prep,Interview,Interview Pack,HTTP + RxJS,"10 Q/A: interceptors, retry, switchMap use, unsubscribe patterns","docs/interview/http-rxjs.md",Planned,
06,2026-02-08,Prep,Interview,Mock,Live coding,"Mock: build small RxJS stream explanation (no full solution)","docs/interview/mock-notes.md updated",Planned,
06,2026-02-08,Review,Weekly,Week 06,Weekly Review,"Weekly note + P02 presentable (README + screenshots)","docs/weekly-notes/week-06.md",Planned,

07,2026-02-15,Plan,Tracker,Week 07,Sprint Planning,"Start P03 (RxShop) skeleton + API target choice","Issue P03 updated with API plan",Planned,
07,2026-02-15,Learn,Angular,P03 RxShop,Services and HTTP,"Service layer design + typed responses","docs/weekly-notes/week-07.md",Planned,
07,2026-02-15,Build,Angular,P03 RxShop,Services and HTTP,"Implement data fetch + display (YOU implement)","PR link",Planned,
07,2026-02-15,Learn,RxJS,P03 RxShop,Reactive Programming (RxJS),"Search stream: debounceTime + switchMap + distinctUntilChanged","docs/weekly-notes/week-07.md",Planned,
07,2026-02-15,Build,Angular,P03 RxShop,RxJS,"Implement search stream + loading/error states (YOU implement)","PR link + screenshots",Planned,
07,2026-02-15,Learn,Angular,General,Dependency Injection (DI),"Provider scopes, injection tokens, best practices","docs/interview/di-advanced.md",Planned,
07,2026-02-15,Prep,Interview,Interview Pack,RxJS Deep,"10 Q/A: Subject/BehaviorSubject/ReplaySubject; hot vs cold; switchMap why","docs/interview/rxjs.md updated",Planned,
07,2026-02-15,Review,Weekly,Week 07,Weekly Review,"Weekly note + P03 demo working","docs/weekly-notes/week-07.md",Planned,

08,2026-02-22,Plan,Tracker,Week 08,Sprint Planning,"State handling plan: service-store vs library; define patterns to practice","docs/interview/state-patterns.md",Planned,
08,2026-02-22,Learn,Angular,General,State Handling/Management,"Local store patterns: BehaviorSubject store, derived streams, caching","docs/weekly-notes/week-08.md",Planned,
08,2026-02-22,Build,Angular,P03 RxShop,State Handling/Management,"Implement store-lite caching pattern (YOU implement)","PR link",Planned,
08,2026-02-22,Learn,Angular,General,Change Detection Strategy,"Default vs OnPush; immutability mindset; perf basics","docs/weekly-notes/week-08.md",Planned,
08,2026-02-22,Build,Angular,P03 RxShop,Change Detection Strategy,"Apply OnPush where appropriate + measure effect (YOU implement)","PR link + notes",Planned,
08,2026-02-22,Learn,TypeScript,General,TypeScript Mastery,"Utility types: Partial, Pick, Omit; generics practice (concepts)","docs/interview/typescript.md updated",Planned,
08,2026-02-22,Prep,Interview,Interview Pack,State + CD,"10 Q/A: OnPush, immutability, state patterns, unsubscribe patterns","docs/interview/state-change-detection.md",Planned,
08,2026-02-22,Review,Weekly,Week 08,Weekly Review,"Weekly note + ensure P03 is presentable","docs/weekly-notes/week-08.md",Planned,

09,2026-03-01,Plan,Tracker,Week 09,Sprint Planning,"Start P04 RouteShield: auth mock + route plan + lazy loading plan","Issue P04 checklist created",Planned,
09,2026-03-01,Learn,Angular,P04 RouteShield,Routing and Navigation,"Guards, resolvers, lazy loading, preloading concept","docs/weekly-notes/week-09.md",Planned,
09,2026-03-01,Build,Angular,P04 RouteShield,Routing and Navigation,"Implement guarded routes + lazy module/features (YOU implement)","PR link",Planned,
09,2026-03-01,Learn,Angular,P04 RouteShield,State Handling/Management,"Auth state: token storage, session, route redirects concept","docs/interview/auth-state.md",Planned,
09,2026-03-01,Build,Angular,P04 RouteShield,State Handling/Management,"Implement auth mock flow (YOU implement)","PR link + screenshots",Planned,
09,2026-03-01,Learn,Angular,General,Component Architecture,"Feature boundaries; shared components; avoid over-sharing","docs/interview/architecture.md updated",Planned,
09,2026-03-01,Prep,Interview,Interview Pack,Routing,"10 Q/A: guards, lazy loading, resolver, router events","docs/interview/routing.md",Planned,
09,2026-03-01,Review,Weekly,Week 09,Weekly Review,"Weekly note + P04 demo ready","docs/weekly-notes/week-09.md",Planned,

10,2026-03-08,Plan,Tracker,Week 10,Sprint Planning,"Perf + DI advanced + build config tasks","Issue(s) created/updated",Planned,
10,2026-03-08,Learn,Angular,General,Dependency Injection (DI),"Multi providers, tokens, interceptors chain, testing DI concept","docs/weekly-notes/week-10.md",Planned,
10,2026-03-08,Learn,Angular,General,Angular CLI,"Build configs, environment files, deploy checklist concept","docs/interview/deploy.md",Planned,
10,2026-03-08,Build,Angular,P04 RouteShield,Architecture,"Refine feature boundaries + shared module/components (YOU implement)","PR link",Planned,
10,2026-03-08,Learn,Angular,General,Change Detection Strategy,"TrackBy correctness; async pipe; avoiding manual subscribe","docs/weekly-notes/week-10.md",Planned,
10,2026-03-08,Prep,Interview,Interview Pack,Architecture,"10 Q/A: smart/dumb, folder structure, DI patterns, perf tips","docs/interview/architecture.md updated",Planned,
10,2026-03-08,Prep,Interview,Mock,System Design Lite,"Describe how you’d structure a small Angular app (modules/features/services)","docs/interview/mock-notes.md updated",Planned,
10,2026-03-08,Review,Weekly,Week 10,Weekly Review,"Weekly note + ensure P01–P04 have README + screenshots","docs/weekly-notes/week-10.md",Planned,

11,2026-03-15,Plan,Tracker,Week 11,Sprint Planning,"Start P05 TestBench: decide test scope + tools","Issue P05 checklist created",Planned,
11,2026-03-15,Learn,Testing,General,Testing,"Test concepts: unit vs integration; TestBed; spies/mocks","docs/weekly-notes/week-11.md",Planned,
11,2026-03-15,Learn,Testing,General,Testing,"HTTP testing: HttpTestingController concept; interceptors testing concept","docs/interview/testing-http.md",Planned,
11,2026-03-15,Build,Angular,P05 TestBench,Testing,"Implement service/component tests (YOU implement)","PR link",Planned,
11,2026-03-15,Learn,Testing,General,Testing,"Router testing + component testing patterns concept","docs/interview/testing-router.md",Planned,
11,2026-03-15,Build,Angular,P05 TestBench,Testing,"Add 5–10 meaningful tests (YOU implement)","PR link + coverage note",Planned,
11,2026-03-15,Prep,Interview,Interview Pack,Testing,"10 Q/A: TestBed, mocks, async testing, http mocks, router testing","docs/interview/testing.md",Planned,
11,2026-03-15,Review,Weekly,Week 11,Weekly Review,"Weekly note + P05 presentable","docs/weekly-notes/week-11.md",Planned,

12,2026-03-22,Plan,Tracker,Week 12,Interview Sprint,"Create final interview plan: daily Q/A + mock + portfolio polish","docs/progress/now.md updated",Planned,
12,2026-03-22,Prep,Interview,Interview Pack,Angular Review,"Revise all pillars checklist; fill weak areas","docs/progress/roadmap.md checkboxes updated",Planned,
12,2026-03-22,Prep,Interview,Interview Pack,Behavioral,"STAR stories: project challenges, debugging, teamwork, learning","docs/interview/behavioral.md updated",Planned,
12,2026-03-22,Build,Portfolio,All Projects,Portfolio Polish,"Add screenshots + short READMEs per project + demo instructions","Each project README updated",Planned,
12,2026-03-22,Prep,Interview,Mock,Mock Interviews,"Do 2 mocks: Angular fundamentals + RxJS + forms + routing","docs/interview/mock-notes.md",Planned,
12,2026-03-22,Prep,Interview,Resume/LinkedIn,Presentation,"Update resume bullets using project names + deliverables","Resume bullets drafted (outside repo)",Planned,
12,2026-03-22,Review,Weekly,Week 12,Final Review,"Confirm job readiness checklist + next 30 days plan","docs/progress/roadmap.md updated",Planned,
12,2026-03-22,Review,Weekly,Week 12,Apply,"Start applying + track applications","docs/progress/applications.csv (optional)",Planned,
